Nome,AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MT,MS,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SP,SE,TO
ALANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ALICE,28,0,20,8,273,109,329,255,402,29,32,160,1475,80,77,619,186,0,0,0,0,62,7,313,4002,81,70
ALISSON GREGORY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ANA BEATRIZ,27,108,30,16,125,225,132,159,132,45,20,107,625,105,142,279,379,18,0,54,0,36,4,110,1335,56,31
ANA CECILIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
ANA CECÍLIA,0,0,0,0,0,140,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0
ANA CLARA,32,99,37,29,165,160,208,189,188,50,43,178,819,135,80,568,238,0,0,39,0,92,19,312,2828,53,35
ANA JULIA,0,0,12,0,0,105,0,109,0,32,31,80,1297,0,0,414,0,48,0,53,0,38,4,0,1252,67,0
ANA JÚLIA,36,103,20,7,189,239,203,130,188,72,18,110,0,0,163,289,329,0,0,0,0,58,8,181,1196,0,53
ANA LARA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
ANA LAURA,0,0,14,0,0,148,0,0,208,0,0,0,703,67,78,451,0,0,0,36,0,37,0,137,1269,0,58
ANA LIVIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
ANA LUIZA,25,0,0,12,0,160,0,130,146,38,0,69,802,73,0,309,148,15,0,28,0,29,0,165,1323,44,43
ANA LÍVIA,0,0,0,0,0,112,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
ANA PAULA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
ANA SOFIA,0,0,0,0,0,146,0,0,0,37,0,0,0,0,0,0,0,16,0,0,0,0,5,0,0,0,0
ANA SOPHIA,24,0,0,9,0,267,0,0,0,27,0,0,0,74,58,0,176,21,0,43,0,0,0,0,0,0,0
ANA VITORIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,25,0,0,0,0,0,0,0
ANA VITÓRIA,29,0,17,17,115,126,0,0,0,46,0,0,0,82,58,0,0,0,0,0,0,44,0,0,0,0,0
ANNA CLARA,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANNA JULIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
ANNALÚ PIRAGIBE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ANTHONY,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTHONY GABRIEL,0,73,0,0,0,0,0,0,0,0,20,0,0,0,0,301,0,0,0,0,0,38,0,0,0,43,0
ARTHUR,79,99,38,17,482,268,412,400,463,68,40,220,1446,143,138,741,365,36,0,41,0,118,19,389,4381,156,103
ARTHUR AZEVEDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ARTHUR GABRIEL,24,79,17,0,0,0,0,0,0,0,24,0,0,65,58,256,260,0,0,31,0,38,4,117,0,56,0
ARTHUR GUILHERME,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
ARTHUR HENRIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0
ARTHUR LORENZO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
ARTHUR MIGUEL,27,84,0,8,0,0,0,0,0,0,0,74,580,40,62,373,255,0,0,26,0,38,8,113,1032,65,0
AYLLA SOPHIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
BEATRIZ,0,0,0,0,0,0,0,94,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0
BENJAMIN,0,0,0,7,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BERNARDO,0,90,15,15,187,156,249,256,188,0,0,75,1148,53,66,322,211,24,0,30,0,0,0,213,2309,67,33
BRYAN COSTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CARLOS DANIEL,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARLOS EDUARDO,21,67,15,11,0,110,0,0,0,38,22,0,0,69,0,0,0,21,0,0,0,38,4,0,0,0,0
CAUANE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CECILIA,0,0,0,0,0,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CECÍLIA,0,0,0,0,96,0,142,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANIEL,22,0,13,8,124,0,103,108,139,0,0,0,0,45,0,0,0,0,0,0,0,33,0,0,0,0,32
DANILO VEIGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DAVI,44,69,32,12,241,168,252,266,306,51,37,137,1209,81,91,480,236,21,0,31,0,54,10,297,3057,95,72
DAVI LEONARDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DAVI LUCAS,23,125,18,10,175,188,156,176,205,93,22,116,1202,59,126,346,324,41,0,56,2,48,0,170,1594,62,50
DAVI LUCCA,0,69,12,0,117,0,115,101,0,0,0,66,785,0,0,319,0,17,0,0,0,0,6,151,2572,51,0
DAVI LUIZ,24,0,0,0,0,0,0,0,0,0,26,76,0,0,55,270,210,16,0,0,1,38,0,150,0,0,0
DAVI MIGUEL,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,352,147,0,0,0,0,0,0,121,0,0,0
DAVI OLIVEIRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DIANA DIDONÉ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DÉBORA PROPODOSKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EDUARDA MONIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EDUARDO,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDUARDO VALDEMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ELISA,0,0,0,0,0,0,0,85,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
