Nome,total,percentage,total_2024,total_2023,total_2022,total_2021,total_2020,total_2019,total_2018,total_2017,total_2016,total_2015,total_2014,total_2013,total_2012,total_2011,total_2010
MIGUEL,207269.0,4.1181123310114405,24371.0,27143.0,29153.0,30679.0,31665.0,9305.0,17699.0,12769.0,12248.0,11935.0,262.0,13.0,14.0,7.0,6.0
ARTHUR,181869.0,3.613453876502129,18496.0,21311.0,25292.0,28932.0,30893.0,8374.0,17119.0,10662.0,10733.0,9763.0,263.0,16.0,5.0,8.0,2.0
HELENA,150777.0,2.9957042439193127,25071.0,24966.0,24084.0,23353.0,25178.0,7391.0,10044.0,4800.0,3449.0,2434.0,7.0,0.0,0.0,0.0,0.0
HEITOR,150733.0,2.9948300324233124,19580.0,21373.0,22452.0,24242.0,26979.0,6696.0,13962.0,7504.0,4522.0,3395.0,22.0,5.0,1.0,0.0,0.0
ALICE,143073.0,2.842637758346882,15637.0,18758.0,21954.0,22084.0,23192.0,6262.0,12233.0,8617.0,7503.0,6715.0,99.0,6.0,8.0,2.0,3.0
DAVI,135885.0,2.699823389409365,17074.0,18459.0,18315.0,19830.0,21540.0,4957.0,10206.0,7349.0,8237.0,9548.0,311.0,26.0,15.0,13.0,5.0
LAURA,121722.0,2.4184266299126964,15638.0,18021.0,18294.0,19925.0,20335.0,5351.0,9051.0,5273.0,4876.0,4884.0,64.0,4.0,3.0,2.0,1.0
GAEL,120730.0,2.3987171343665055,21650.0,24309.0,27314.0,26307.0,19778.0,1349.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
GABRIEL,115462.0,2.294050176163551,12359.0,14908.0,15994.0,18555.0,19757.0,5639.0,9452.0,6067.0,6138.0,6252.0,247.0,31.0,34.0,16.0,13.0
BERNARDO,114610.0,2.2771222626500887,15973.0,16528.0,16894.0,17115.0,19024.0,4833.0,9734.0,5707.0,4847.0,3879.0,71.0,1.0,4.0,0.0,0.0
MARIA ALICE,113405.0,2.253180788725533,13918.0,20586.0,26090.0,16626.0,6344.0,8388.0,8765.0,5432.0,4538.0,2641.0,67.0,4.0,3.0,0.0,3.0
MARIA CLARA,111451.0,2.2143578509258797,7068.0,10609.0,11530.0,11854.0,11575.0,10751.0,14170.0,9063.0,10824.0,13408.0,449.0,50.0,43.0,24.0,33.0
THEO,109586.0,2.177303204561318,20123.0,21452.0,20801.0,21515.0,21677.0,3418.0,0.0,598.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
SAMUEL,107467.0,2.1352019736516628,14194.0,16673.0,17151.0,16872.0,16457.0,3987.0,7447.0,4598.0,4751.0,5105.0,202.0,8.0,9.0,5.0,8.0
ENZO GABRIEL,106357.0,2.113148001820744,2201.0,5431.0,6709.0,11401.0,14866.0,16672.0,18156.0,12556.0,10589.0,7502.0,247.0,12.0,10.0,3.0,2.0
MARIA EDUARDA,98842.0,1.9638366519924968,488.0,3282.0,6690.0,8586.0,11132.0,12063.0,15760.0,11556.0,13087.0,15359.0,554.0,87.0,90.0,63.0,45.0
JOAO MIGUEL,83843.0,1.6658298740718207,7934.0,11386.0,14735.0,12441.0,14406.0,15082.0,1761.0,2751.0,3090.0,221.0,30.0,2.0,2.0,0.0,2.0
VALENTINA,82932.0,1.6477297224159946,6456.0,8954.0,10154.0,12494.0,14610.0,4535.0,10325.0,6546.0,5039.0,3767.0,50.0,2.0,0.0,0.0,0.0
PEDRO HENRIQUE,78343.0,1.556553437071773,1395.0,3095.0,3736.0,3871.0,7179.0,11103.0,13672.0,10350.0,10739.0,12578.0,483.0,42.0,28.0,41.0,31.0
