Nome,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
A -,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ABBIE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ABNER,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ABRAHAM ARCANGEL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ABRAÃO,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
ACHILLE MIGUEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ADEANE ANTONIO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ADEILSON FILHO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ADEILSON FRANÇA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ADEMAR HIGOR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ADONAY GABRIEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ADRE GABRIEL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADRI VERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ADRIAN,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1
ADRIAN JOSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ADRIAN MARCOS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ADRIANA ROJAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ADRIANE ANJOS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ADRIANNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ADRIANO ANTONIO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ADRIANY FERNANDA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ADRIEL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ADRIEL NICOLAU,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ADRIELE CAMARGO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADRIELE MARIANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ADRIELI,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ADRIELLE CURUAIA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ADRIELLY BEZERRA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ADRIELY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ADRIELY EULALIO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ADRYA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ADRYA KAUANE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADRYAN,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
ADRYAN DIEGO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ADRYAN FELIPE,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
AFYLLA KILMA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AGATA SOPHIA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AGATHA,108,213,330,1743,674,0,0,0,0,0,0,2,0,0,0
AGATHA CRISTIAN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AGATHA EDUARDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AGATHA ESTER,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGATHA FALCONE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AGATHA LIDIANY,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGATHA LORRANY,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGATHA SOFH,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AGATHA SOPHIA,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
AGHATA,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
AGNES,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGUINALDO JORGE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AHEKA KALAPALO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AIDA MONTOTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AIEZER ARAUJO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AILTON OLIVEIRA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AISHA SOPHIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AIZI KELLI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AKAMÃE KAUTUA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AKIELIVERSON VERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALAILDO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALAN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
