Nome,AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MT,MS,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SP,SE,TO
AGATHA,33,0,0,106,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0
ALICE,79,128,43,165,1496,312,482,571,1013,318,434,436,2505,451,181,1737,355,111,2211,130,1312,193,37,944,7225,132,191
ANA BEATRIZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,306,0,0,90,0,0,0,0,0,0,0
ANA CECILIA,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0
ANA CLARA,42,100,47,205,0,0,0,0,0,225,0,145,0,380,115,0,301,0,0,0,546,91,34,0,1984,0,0
ANA JULIA,47,123,28,123,609,386,0,0,284,347,182,161,910,0,172,0,370,134,0,121,0,0,23,0,0,90,91
ANA LAURA,0,0,29,0,0,415,0,0,300,0,0,0,724,310,166,0,267,0,0,136,0,0,0,0,0,0,89
ANA LIVIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0
ANA LIZ,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA LUIZA,0,0,30,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,22,0,0,0,0
ANA VITORIA,59,0,27,155,0,262,0,0,0,258,0,0,0,346,0,0,0,95,0,0,0,0,23,0,0,0,90
ANTHONY,0,0,22,116,759,0,0,259,0,0,0,132,0,0,0,519,0,0,780,0,463,77,0,366,2086,0,0
ANTHONY GABRIEL,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0
ANTONELLA,0,0,0,0,0,0,0,289,303,0,162,133,884,0,0,661,0,0,1263,0,836,0,0,430,2307,0,0
ARTHUR,127,286,88,424,2436,879,540,797,1066,752,531,506,2669,911,367,1966,780,302,3195,204,1792,303,59,1183,8190,252,288
ARTHUR GABRIEL,0,123,0,105,0,0,0,0,0,0,0,0,0,229,116,0,330,0,0,84,0,0,0,0,0,89,0
ARTHUR MIGUEL,0,127,0,133,0,0,0,0,0,0,160,0,0,0,0,0,298,0,0,0,0,81,30,0,0,100,0
AURORA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,0,0,0,0,0
BEATRIZ,0,0,0,0,0,0,0,185,0,0,0,0,720,0,0,564,0,0,0,0,0,0,0,0,0,0,0
BENICIO,41,0,0,131,0,321,167,337,441,224,197,179,1331,0,0,680,247,121,967,105,527,0,23,321,2854,67,82
BENJAMIM,0,92,0,0,0,260,0,0,0,284,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0
BENJAMIN,33,0,0,123,637,309,188,265,0,290,0,151,0,241,0,556,0,105,718,0,536,0,25,380,0,98,0
BERNARDO,53,209,35,167,1247,526,455,547,585,233,209,224,2066,342,221,1095,592,161,2406,159,1133,74,0,708,5238,181,158
BRUNO HENRIQUE,0,0,30,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRYAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,0,0,0,0,0,0,0,0
CECILIA,0,0,26,0,799,0,249,338,639,0,281,223,1454,235,0,860,0,0,0,0,813,117,27,495,2251,0,123
DANIEL,38,0,40,151,690,0,180,249,301,227,0,0,0,317,0,0,259,0,758,0,0,80,21,0,0,0,75
DAVI,78,187,59,195,1328,568,427,615,884,421,426,389,2198,542,315,1433,675,219,1967,182,1012,230,57,887,5898,175,173
DAVI LUCAS,37,134,0,0,0,270,0,0,282,329,152,0,840,237,196,0,316,131,0,121,0,0,0,0,0,70,83
DAVI LUCCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138,0,0
ELISA,0,0,0,0,876,0,204,360,556,0,175,0,818,0,0,0,0,0,0,0,0,83,0,0,0,78,150
ELIZA,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOA,39,0,45,122,811,250,225,204,341,244,192,162,717,335,115,0,0,113,951,0,0,97,22,387,2046,70,131
ELOAH,0,0,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,797,0,0,0,0,0,0,0,73
EMANUEL,33,0,0,129,0,0,0,217,0,0,0,0,747,0,0,549,0,0,0,0,0,76,0,0,0,0,71
EMANUELLY,0,0,0,0,0,0,0,223,356,0,0,170,0,0,0,0,0,0,0,0,0,97,0,290,0,0,0
ENZO,0,0,34,0,750,0,0,232,0,0,0,0,0,253,0,0,0,0,689,0,0,0,17,285,0,71,78
ENZO GABRIEL,108,353,65,259,1398,868,217,248,470,730,275,241,1379,743,476,692,847,269,853,335,631,146,30,495,2290,290,158
ESTER,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTHER,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FELIPE,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,605,0,0,0,0,0,73,0,0,2099,0,0
GABRIEL,69,167,61,243,1287,548,391,553,760,392,360,337,2294,555,290,1242,555,178,1888,170,961,176,52,736,5148,178,166
GAEL,111,117,61,257,1827,499,421,641,701,527,328,366,2086,527,171,888,312,209,2536,136,680,141,49,574,5369,104,140
GIOVANNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,0,0,0,0,0,0,0,0
GUILHERME,73,146,37,184,957,0,186,238,0,234,186,148,0,374,168,500,349,85,897,106,0,118,19,0,2251,110,74
GUSTAVO,0,0,0,109,620,0,179,0,0,0,159,133,0,255,0,574,0,0,0,0,428,107,27,328,2153,84,0
HEITOR,123,221,85,293,2101,803,643,812,1154,716,547,425,2874,769,360,1362,702,241,2955,233,961,320,54,799,6923,241,262
HELENA,55,113,50,199,1272,0,478,838,1117,285,548,477,3003,350,157,1940,364,105,2280,122,1684,238,32,1285,7905,104,177
HELOISA,51,0,32,137,1076,286,298,300,645,358,312,276,904,304,0,977,277,106,805,0,607,188,24,631,4846,77,163
HENRIQUE,0,0,28,0,0,0,181,260,384,0,156,135,1115,0,0,558,0,0,0,0,538,0,19,546,2158,0,79
ISAAC,0,0,0,0,555,333,210,190,335,220,170,149,0,0,117,0,0,113,820,0,0,0,0,302,2131,0,81
ISABELA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,0,0,0,0,414,0,0,286,0,0,0
ISABELLA,41,0,36,134,742,0,181,233,331,253,162,163,762,265,0,670,0,85,1047,0,668,89,26,431,2627,0,99
ISABELLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,17,0,0,0,0
ISADORA,45,0,27,135,591,0,180,227,264,331,162,153,730,330,0,542,0,125,0,0,528,98,29,334,0,0,87
ISIS,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOAO GABRIEL,0,93,0,0,0,365,0,0,0,0,0,0,0,0,150,0,269,137,0,143,0,0,0,0,0,82,0
JOAO GUILHERME,43,241,38,123,0,396,0,0,0,332,0,0,0,339,199,0,476,137,0,171,0,0,25,0,0,105,68
JOAO LUCAS,46,162,0,0,0,416,0,0,284,327,0,0,906,271,228,0,382,137,0,121,0,0,0,0,0,73,99
JOAO MIGUEL,92,390,50,239,1096,1018,285,296,767,798,417,256,1735,772,438,642,900,315,963,367,0,183,48,0,1907,187,245
JOAO PEDRO,0,142,0,119,0,381,0,0,374,249,210,0,955,268,169,493,407,90,0,118,0,88,18,0,0,121,68
JOAQUIM,0,113,0,0,0,0,0,204,0,206,159,178,0,0,0,786,0,0,0,0,997,0,0,676,2303,121,0
JOSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,84,0,0,0,0,0,0,0
JOSE MIGUEL,0,148,0,0,0,295,0,0,0,0,0,0,0,0,185,0,269,0,0,120,0,0,0,0,0,66,0
JOSUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
JULIA,0,0,0,101,630,0,197,257,369,0,158,164,1137,241,0,868,0,0,853,0,551,97,23,405,2774,0,91
LARA,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,759,0,0,0,0,286,0,0,0
LAURA,52,122,43,165,1425,385,423,667,664,267,236,234,1948,465,205,1562,404,111,2498,140,979,216,29,904,5915,117,159
LAVINIA,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0
LEONARDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,0,0,0,0,0,0,0,0,2545,0,0
LEVI,0,0,0,0,799,0,150,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIVIA,0,0,0,0,0,0,148,213,0,0,207,203,753,0,0,1049,0,0,0,0,935,118,20,573,3419,0,0
LIZ,0,0,0,0,642,0,231,361,302,0,0,0,812,0,0,0,0,0,724,0,0,0,0,0,2071,0,0
LORENA,61,153,0,0,621,249,0,0,0,235,208,280,0,0,189,645,339,0,779,0,437,94,0,465,4708,105,0
LORENZO,51,0,0,99,1023,307,201,454,365,259,221,219,1090,264,0,716,0,90,1257,0,713,82,0,457,3618,78,86
LUCAS,38,106,24,139,555,0,185,263,313,0,0,146,1260,253,157,690,335,105,1169,100,554,70,30,410,3223,67,88
LUCAS GABRIEL,0,140,0,0,0,0,0,0,0,0,0,0,0,0,116,0,314,0,0,108,0,0,0,0,0,0,0
LUISA,0,0,0,0,0,0,0,0,293,0,0,0,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUIZ MIGUEL,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0
LUIZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,0,0,0,539,0,0,337,0,0,0
LUNNA,0,0,0,0,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAITE,43,0,24,0,0,0,248,262,0,0,0,154,0,232,0,0,0,0,1295,0,427,0,0,0,2408,0,0
MANUELA,0,0,0,124,0,0,208,208,415,0,0,190,1127,0,0,715,0,0,1206,0,714,0,0,405,3774,0,76
MANUELLA,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,1239,0,497,0,0,0,3449,0,0
MARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,83,0,0,0,0,0,0,0
MARIA ALICE,38,154,33,98,653,564,187,0,291,259,0,0,1192,326,360,0,800,192,773,206,0,0,0,0,0,137,81
MARIA CECILIA,37,388,28,0,1010,762,215,0,468,750,190,0,1441,482,386,0,764,256,0,312,0,82,27,0,0,232,151
MARIA CLARA,34,273,45,226,698,574,216,0,332,322,193,198,1089,448,320,684,793,123,848,206,688,89,36,383,2526,162,69
MARIA EDUARDA,37,186,64,216,828,486,213,0,297,365,190,154,1187,502,171,560,435,129,1049,158,521,113,41,314,2712,136,68
MARIA ELOA,0,118,0,0,0,450,0,0,0,0,0,0,0,0,122,0,0,91,0,86,0,0,0,0,0,0,0
MARIA HELENA,0,178,35,137,0,291,160,0,0,234,184,0,0,257,308,497,533,95,0,264,0,0,0,0,0,107,0
MARIA HELOISA,0,171,0,0,0,383,0,0,0,0,0,0,0,0,174,0,439,90,0,0,0,0,0,0,0,88,0
MARIA ISIS,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0
MARIA JULIA,0,264,48,192,830,629,215,0,368,436,242,219,1226,390,346,626,788,232,1015,253,0,89,43,0,2191,155,115
MARIA LAURA,0,100,0,0,0,307,0,0,0,0,0,0,0,0,152,0,294,103,0,110,0,0,0,0,0,0,0
MARIA LIZ,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0
MARIA LUIZA,32,206,24,119,605,383,162,0,0,218,169,129,920,317,188,0,495,118,1055,168,438,0,18,0,2115,115,0
MARIA SOPHIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0
MARIA VALENTINA,0,177,23,0,0,489,0,0,0,325,0,0,0,0,175,0,390,165,0,134,0,0,0,0,0,106,67
MARIA VITORIA,33,185,27,0,0,324,0,0,0,278,0,0,0,228,248,0,383,142,0,165,0,0,0,0,0,86,0
MARIANA,0,0,0,0,0,0,160,0,354,0,178,0,0,0,0,0,0,0,0,83,423,79,0,0,0,0,69
MATHEUS,0,114,0,0,0,0,0,0,0,0,0,0,760,0,0,544,287,0,796,0,426,79,21,351,2636,73,0
MELISSA,0,0,0,0,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIGUEL,96,258,84,317,2076,679,619,825,1296,444,627,580,3261,701,396,2352,807,185,2879,217,1740,349,57,1383,8961,213,263
MIRELLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,0,0,0,0,0,0,0,0
MURILO,36,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,557,97,23,0,0,0,0
NICOLAS,37,0,26,132,707,0,202,189,311,236,165,132,755,309,0,0,0,104,745,0,0,95,20,317,0,0,98
NOAH,0,0,0,0,0,0,179,187,274,0,0,0,0,0,0,0,0,0,1288,0,0,0,19,310,2353,0,0
PEDRO,38,117,0,123,682,268,230,313,454,0,216,204,1360,236,119,776,337,0,1353,93,654,87,18,446,3636,85,81
PEDRO HENRIQUE,49,160,56,153,574,0,0,0,0,240,187,178,0,333,184,656,443,91,0,106,738,96,26,578,2237,94,0
PEDRO LUCAS,0,0,0,0,0,306,0,0,0,255,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0
