surname,percentage
Silva,18.98
Santos,11.54
Oliveira,6.57
Souza,5.4
Pereira,4.37
Ferreira,3.81
Alves,3.49
Rodrigues,3.26
Lima,3.25
Costa,2.7
Gomes,2.33
Sousa,2.17
Nascimento,2.05
Araujo,1.86
Jesus,1.85
Ribeiro,1.81
Almeida,1.73
Aparecida,1.62
Barbosa,1.51
Martins,1.49
Soares,1.49
Goncalves,1.46
Carvalho,1.45
Lopes,1.33
Vieira,1.31
Conceicao,1.27
Dias,1.16
Fernandes,1.16
Batista,1.13
Rocha,1.13
Andrade,0.94
Santana,0.93
Moreira,0.92
Henrique,0.92
Nunes,0.89
Rosa,0.89
Freitas,0.88
Cruz,0.87
Reis,0.82
Cardoso,0.8
